simTime,stepTime
14.529,0.000877779
14.5457,0.000706088
14.5623,0.000502668
14.579,0.000633693
14.5962,0.000891764
14.5971,0.000272208
14.6127,0.00081944
14.6293,0.000679338
14.6459,0.000609548
14.6626,0.0011864
14.6792,0.00146514
14.6959,0.000618084
14.7126,0.000609528
14.7292,0.000602123
14.746,0.000676873
14.7467,0.000250387
14.7626,0.000791007
14.7792,0.000472482
14.7959,0.000910961
14.8126,0.00050344
14.8293,0.000661726
14.846,0.000732437
14.8626,0.0007605
14.8793,0.000851589
14.896,0.000871337
14.8968,0.000699716
14.9126,0.000609237
14.9293,0.000700387
14.9459,0.000715976
14.9626,0.00159946
14.9792,0.00129093
14.9959,0.000681572
15.0126,0.000666433
15.0292,0.000743848
15.046,0.000682394
15.0467,0.00109727
15.0626,0.000797278
15.0793,0.000951186
15.096,0.000988695
15.1126,0.000805674
15.1293,0.00132687
